Id,Lat,Lon,Country,State,LGA,Ward,Population,NESP_ID,Branch_id,Customers,Renewable energy share,Generator capacity (kw),PV size(kW),Battery capacity (kWh),Demand,Electr_type_phase_1,Electr_type_phase_2,Electr_type_phase_3,Distance_m
32600,5.807782348309649,9.340751146807758,Nigeria,Niger,Lavun,EGBAKO,1229.8170560000,2120,387,212,66.700000000000003,63,76,160,90,none,mini-grid,intercon,14250
32605,6.084746487474748,8.949526424266779,Nigeria,Niger,Edati,GABA,1191.3852730000,2125,410,205,69.700000000000003,77,108,216,95,none,grid,grid,5340
32606,6.091129391012847,8.915509818147942,Nigeria,Niger,Edati,GABA,1205.7971920000,2126,410,208,64.900000000000006,57,76,160,83,none,grid,grid,4160
32623,5.922440921443787,8.998979914355125,Nigeria,Niger,Edati,MAMBE,1273.0528120000,2143,391,219,70.200000000000003,58,92,184,88,none,none,grid,4360
32626,5.96437959500423,8.867427483366576,Nigeria,Niger,Edati,MAMBE,960.7945757000,2146,394,166,75.500000000000000,60,116,240,82,none,grid,grid,5980
32733,5.958256318139907,11.066202140592042,Nigeria,Niger,Mariga,KONTOKORO,2224.2394420000,2253,384,383,73.400000000000006,86,100,264,133,none,none,grid,92940
32736,6.018419067916754,11.070017696298724,Nigeria,Niger,Mariga,KONTOKORO,1441.1918630000,2256,384,248,71.299999999999997,61,66,152,90,none,none,grid,95620
32756,5.214540274761168,9.647483247152914,Nigeria,Niger,Mashegu,DAPANGI/MAKERA,1671.7825610000,2276,-,288,71.500000000000000,70,84,176,110,mini-grid,mini-grid,mini-grid,31130
32759,5.1683987145478,9.503945031868705,Nigeria,Niger,Mashegu,DAPANGI/MAKERA,1104.9137620000,2279,325,191,66.900000000000006,59,66,144,80,none,none,grid,21240
32774,5.246598110643363,10.26131365092898,Nigeria,Niger,Mashegu,KABOJI,2858.3638620000,2294,362,493,72.000000000000000,114,126,304,170,none,grid,grid,4200
32778,4.705875445766434,9.770104341315111,Nigeria,Niger,Mashegu,KWATACHI,1297.0726770000,2298,367,224,76.000000000000000,55,62,160,78,none,grid,grid,56480
32800,4.918769799662688,9.243989025293734,Nigeria,Niger,Mokwa,GBAJIBO/MUWO,5380.4496240000,2320,378,928,67.299999999999997,224,234,504,331,none,grid,grid,42120
32802,4.889677804668355,9.230100571313898,Nigeria,Niger,Mokwa,GBAJIBO/MUWO,1152.9534900000,2322,378,199,64.700000000000003,62,64,136,82,none,grid,grid,45990
32806,4.846634395333507,9.18242017978786,Nigeria,Niger,Mokwa,JA\AGI,2046.4924460000,2326,378,353,65.799999999999997,145,190,416,179,mini-grid,intercon,intercon,53590
32820,5.766605954998109,8.787535239915648,Nigeria,Niger,Mokwa,MUREGI,1268.2488390000,2340,-,219,70.799999999999997,60,90,192,85,mini-grid,mini-grid,mini-grid,37370
32886,6.76120339709285,9.434448676242651,Nigeria,Niger,Pailoro,GWAM,3602.9796580000,2406,335,621,69.700000000000003,148,162,360,214,none,grid,grid,3970
32893,6.772908220515788,9.501958291467361,Nigeria,Niger,Pailoro,GWAM,1378.7402160000,2413,332,238,69.700000000000003,64,62,136,85,none,none,grid,16750
32896,7.239124323552131,9.665529950861893,Nigeria,Niger,Pailoro,ISHAU,3362.7810150000,2416,356,580,69.700000000000003,147,158,352,217,none,mini-grid,intercon,25240
32927,6.686389888914971,9.367658801360875,Nigeria,Niger,Pailoro,NIKUCHI T/MALLAM,1585.3110490000,2447,319,273,71.700000000000003,75,82,160,102,none,none,grid,5370
32930,6.644274174029828,9.292566176923081,Nigeria,Niger,Pailoro,NIKUCHI T/MALLAM,3108.1704520000,2450,326,536,75.900000000000006,129,152,392,185,none,none,grid,6910
32947,6.507477578487161,9.375547180372166,Nigeria,Niger,Katcha,TUTUNGO JEDNA,1546.8792660000,2467,319,267,71.500000000000000,72,76,176,96,none,none,grid,15860
32961,6.493834994567712,9.984750324699018,Nigeria,Niger,Rafi,KAKURI,1321.0925410000,2481,454,228,54.299999999999997,57,42,80,87,none,none,grid,28530
33005,5.312346611973903,11.147356369196755,Nigeria,Niger,Rijau,T/MAGAJIYA,1412.3680260000,2525,366,244,68.400000000000006,75,74,232,101,none,grid,grid,7100
33103,6.822954831770607,9.801963783157506,Nigeria,Niger,Shiroro,EGWA/GWADA,2959.2472930000,2623,339,510,63.899999999999999,128,156,280,190,none,grid,grid,1060
33105,6.790842895364174,9.759249764935541,Nigeria,Niger,Shiroro,EGWA/GWADA,2618.1652180000,2625,337,451,63.000000000000000,178,188,456,218,none,grid,grid,1650
33110,6.716858863666809,10.109004972799873,Nigeria,Niger,Shiroro,ERANA,1114.5217070000,2630,333,192,71.799999999999997,51,54,120,67,none,none,grid,4210
33115,6.684927066040454,10.098192856780257,Nigeria,Niger,Shiroro,ERANA,1345.1124060000,2635,333,232,66.599999999999994,59,62,120,78,none,none,grid,8270
33134,6.665852485236283,9.958040716808377,Nigeria,Niger,Shiroro,GUSSORO,1907.1772320000,2654,454,329,75.700000000000003,88,122,320,137,none,none,grid,5980
33147,6.848938323686087,10.294725448043634,Nigeria,Niger,Shiroro,KWAKI/CHUKWUBA,2012.8646360000,2667,-,347,67.599999999999994,82,80,224,126,mini-grid,mini-grid,mini-grid,28590
33178,7.138434882079519,9.184607797664546,Nigeria,Niger,Gurara,KURMIN SARKI,1470.0157000000,2698,357,253,63.799999999999997,102,116,248,121,none,grid,grid,5070
33187,5.909901483889479,9.673460185038124,Nigeria,Niger,Wushishi,AKARE,4141.0246210000,2707,393,714,65.799999999999997,181,186,360,265,mini-grid,mini-grid,intercon,21630
33234,6.676619059924686,9.938861138489999,Nigeria,Niger,Shiroro,GUSSORO,1287.4647310000,2754,454,222,66.599999999999994,54,56,112,76,none,none,grid,3580
33259,6.007842379102679,9.994480086882492,Nigeria,Niger,Rafi,KUSHIRKI SOUTH,1200.9932190000,2779,406,207,70.400000000000006,53,54,120,74,none,grid,grid,6440
33269,6.840408158622558,9.431684973038726,Nigeria,Niger,Pailoro,KWAKUTI,1503.6435110000,2789,340,259,69.900000000000006,62,72,144,88,none,none,grid,4090
33304,6.701766673628489,9.470151673159176,Nigeria,Niger,Pailoro,JERE,1200.9932190000,2824,332,207,70.099999999999994,52,54,120,73,none,none,grid,7250
33337,5.777584669625587,8.759913710682284,Nigeria,Niger,Mokwa,PATIGI 1V,2747.8724860000,2857,386,474,71.500000000000000,121,160,352,192,mini-grid,mini-grid,intercon,41250
