,Unnamed: 0,index,Id,Lon,Lat,Country,State,LGA,Ward,Population,NESP_ID,Branch_id,Customers,Renewable energy share,Generator capacity (kw),PV size(kW),Battery capacity (kWh),Demand,Electr_type_phase_1,Electr_type_phase_2,Electr_type_phase_3,Distance_m,demand_cat_4,demand_cat_2
1413,265,265,10912,8.147601488,5.18318117,Nigeria,Cross River,Odukpani,ODOT,964.7355028,722,516,284,60.5,88,98,200,116,none,none,grid,5140,3,0
1414,288,288,10961,8.474577202,6.703395655,Nigeria,Cross River,Yala,OWO,964.7355028,771,547,284,61.5,83,100,176,115,none,none,grid,11050,3,0
1415,71,71,10406,8.659808932,5.98419667,Nigeria,Cross River,Ikom,YALA/NKUM,963.9103537,216,584,284,66.8,94,106,208,112,none,none,grid,3760,3,0
1416,638,335,32626,5.964379595,8.867427483,Nigeria,Niger,Edati,MAMBE,960.7945757,2146,394,166,75.5,60,116,240,82,none,grid,grid,5980,2,0
1417,197,197,10722,9.036380998,6.538492844,Nigeria,Cross River,Obudu,ALEGE/UBANG,960.1415242,532,482,282,70.3,91,114,232,113,none,grid,grid,14070,3,0
1418,943,239,38702,8.755275883,9.345597438,Nigeria,Plateau,Barikin Ladi,MANGUNA,957.3204646,4035,192,181,44.6,52,56,32,72,none,mini-grid,intercon,8930,2,0
1419,844,140,38434,9.883069208,9.462146142,Nigeria,Plateau,Kanam,GWAMLAR,957.3204646,3767,201,181,64.2,55,64,128,78,none,none,grid,14550,2,0
1420,157,157,10613,8.523951235,4.775662814,Nigeria,Cross River,Akpabuyo,IKANG CENTRAL,955.5475457,423,564,281,64.6,71,82,152,101,none,mini-grid,intercon,12650,3,0
1421,213,213,10797,8.768671942,6.561814418,Nigeria,Cross River,Ogoja,NKUM IBORR,955.5475457,607,593,281,74.9,84,110,272,121,none,none,grid,10370,3,0
1422,241,241,10863,8.788826721,6.580217454,Nigeria,Cross River,Ogoja,OGOJA URBAN II,955.5475457,673,593,281,69.6,91,106,224,116,none,none,grid,7450,3,0
1423,463,160,31776,4.699308779,9.733617998,Nigeria,Niger,Mashegu,KWATACHI,951.1866299,1296,-,164,65.2,50,52,120,65,none,none,mini-grid,68460,2,0
1424,1405,157,34510,3.20433946,7.021601384,Nigeria,Ogun,Ewekoro,MOSAN,950.0660766,5886,650,158,63.8,50,56,112,65,none,grid,grid,3610,2,0
1425,160,160,10619,8.88949535,6.66739946,Nigeria,Cross River,Bekwara,IBIARAGIDI,946.3595885,429,470,278,54.6,88,102,176,118,none,grid,grid,2790,3,0
1426,1500,252,35102,3.073478959,7.239823942,Nigeria,Ogun,Abeokuta North,IDO FOI,937.2849186,6478,625,156,62.6,51,60,112,65,none,none,grid,5340,2,0
1427,118,118,10511,8.670315039,6.432328251,Nigeria,Cross River,Ogoja,EKAJUK II,937.1716313,321,582,276,68.4,64,82,152,100,none,grid,grid,5830,2,0
1428,367,64,31453,6.319421745,9.147417556,Nigeria,Niger,Agaie,ETSUGAIE,936.7747113,973,441,162,68.4,50,60,128,66,none,grid,grid,2680,2,0
1429,1517,9,40440,4.544604192,11.80571502,Nigeria,Sokoto,Kebbe,ANDARAI/ KURUNKWU/ ZONGUN LIBA,934.8276049,6570,90,191,73.3,51,54,136,66,none,none,grid,47750,2,0
1430,1722,214,40870,5.686476026,13.22319857,Nigeria,Sokoto,Rabah,TURSA,934.8276049,7000,47,191,97.2,59,90,312,86,none,none,grid,4540,2,0
1431,942,238,38701,8.815503036,9.321492321,Nigeria,Plateau,Bokkos,MANGUNA,934.7952772,4034,230,176,65.3,54,64,128,72,none,none,grid,18470,2,0
1432,1232,528,39851,8.633565201,9.541761507,Nigeria,Plateau,Riyom,SHARUBUTU,934.7952772,5184,180,176,69.7,53,70,136,71,none,none,grid,11020,2,0
1433,273,273,10923,8.01042259,5.354933742,Nigeria,Cross River,Odukpani,ITO/IDERE/UKWA,932.5776527,733,517,274,67.7,81,108,208,116,none,mini-grid,intercon,9250,3,0
1434,264,264,10911,8.90577551,6.608578284,Nigeria,Cross River,Bekwara,AFRIKE OCHAGBE,932.5776527,721,469,274,75.7,69,82,192,101,none,grid,grid,6960,3,0
1435,1332,84,34185,3.092423156,6.924222203,Nigeria,Ogun,Ewekoro,ASA/YOBO,928.7641466,5561,634,155,64.1,55,92,160,72,none,mini-grid,intercon,6040,2,0
1436,159,159,10618,8.949468096,6.781049986,Nigeria,Cross River,Bekwara,GAKEM,927.9836741,428,476,273,61.9,84,100,200,110,none,grid,grid,8590,3,0
1437,1589,81,40630,5.26415855,12.73986688,Nigeria,Sokoto,Bodinga,BANGI/DABAGA,921.6412866,6760,128,188,64.9,58,64,128,82,none,grid,grid,18580,2,0
1438,864,160,38473,10.07661803,9.571776665,Nigeria,Plateau,Kanam,KANTANA,920.717035,3806,311,174,48.3,50,56,48,72,none,mini-grid,intercon,38170,2,0
1439,84,84,10438,9.133061471,6.109950342,Nigeria,Cross River,Boki,ABO,918.795717,248,472,270,81,84,118,296,108,none,none,grid,35320,3,0
1440,100,100,10466,8.984815951,6.25748156,Nigeria,Cross River,Boki,BOJE,918.795717,276,474,270,59.2,67,62,120,95,none,grid,grid,11620,2,0
1441,166,166,10633,8.067078269,5.589514483,Nigeria,Cross River,Biase,AKPET/ABINI,918.795717,443,489,270,92.2,64,116,280,104,none,mini-grid,intercon,6940,3,0
1442,170,170,10641,8.025692336,5.505582418,Nigeria,Cross River,Biase,UMON NORTH,918.795717,451,517,270,65,72,72,168,108,none,mini-grid,intercon,17570,3,0
