,index,Id,Lon,Lat,Country,State,LGA,Ward,Population,NESP_ID,Branch_id,Customers,Renewable energy share,Generator capacity (kw),PV size(kW),Battery capacity (kWh),Demand,Electr_type_phase_1,Electr_type_phase_2,Electr_type_phase_3,Distance_m
1868,360,41197,5.532331865277553,13.569990009626148,Nigeria,Sokoto,Illela,G/ HAMMA,1101.238751,7327,151,225,72.29999999999998,74,66,200,87,none,none,grid,16070
1497,249,35081,3.507438916262406,7.005031410549655,Nigeria,Ogun,Obafemi-Owode,MOLOKO-ASIPA,1099.179586,6457,668,183,66.5,54,68,144,79,none,none,grid,2930
1134,430,39384,9.467237590330294,8.710591798991432,Nigeria,Plateau,Shendam,KALONG,1098.102885,4717,288,207,68.5,50,56,112,73,none,none,grid,23780
1210,506,39733,8.720914310937193,9.887962121910848,Nigeria,Plateau,Bassa,TA\AGBE,1098.102885,5066,291,207,67.9,53,56,104,73,none,none,grid,6170
1710,202,40838,5.027492431937469,13.16279292736631,Nigeria,Sokoto,Binji,SAMAMA,1096.485262,6968,94,224,76.59999999999998,56,58,160,76,none,none,grid,13350
1064,360,39063,9.511298437954563,9.04330484333262,Nigeria,Plateau,Mikang,PIAPUNG \A\,1095.287237,4396,283,207,66.8,74,100,208,97,none,mini-grid,intercon,22690
1384,136,34392,3.103529817135792,6.616243186006535,Nigeria,Ogun,Ado-Odo/Ota,KETU-ADIE-OWE,1094.9192,5768,628,182,47.5,71,58,136,88,none,none,grid,7770
1490,242,35042,3.912383679934687,7.021070669384026,Nigeria,Ogun,Ijebu North,ORU/AWA/ILAPORU,1094.9192,6418,686,182,65.1,57,70,136,77,none,none,grid,14070
1783,275,41019,5.993397231777982,13.390298860158389,Nigeria,Sokoto,Goronyo,RIMAWA,1091.211405,7149,61,223,67.8,68,70,168,107,none,none,grid,35660
774,70,38273,9.399651118158795,8.817505945223942,Nigeria,Plateau,Shendam,POESHIP,1089.65594,3606,253,206,71.6,71,110,232,93,none,mini-grid,intercon,10240
442,139,31693,7.064612377731786,9.600245495502683,Nigeria,Niger,Pailoro,KWAGANA,1088.132257,1213,351,188,66.6,59,64,136,79,none,none,grid,8590
1316,68,34142,4.028413145265121,6.859241815260652,Nigeria,Ogun,Ijebu North East,IGEDE/ITAMARUN,1087.363566,5518,690,181,62.1,70,88,184,90,none,grid,grid,6350
710,6,38191,9.206121975817174,8.490037949571388,Nigeria,Plateau,'Qua''an Pan',KWANDE,1086.840292,3524,0,205,68.2,51,54,112,70,none,none,mini-grid,62650
1819,311,41101,4.147048970942181,13.451050075979463,Nigeria,Sokoto,Gudu,BACHAKA,1086.598837,7231,1,222,73.59999999999998,56,54,136,80,none,none,grid,23530
1462,214,34843,3.738298916816382,7.255406339306803,Nigeria,Ogun,Odeda,ALAGBAGBA,1086.398428,6219,671,181,62.3,53,64,128,73,none,none,grid,19150
778,74,38285,9.8311943243826,8.881706518935475,Nigeria,Plateau,Langtang North,NYER,1085.490336,3618,197,205,69.3,66,70,168,87,none,none,grid,6470
1750,242,40934,6.216288405080316,13.299193134619884,Nigeria,Sokoto,Isa,TSABREN SARKIN DARAI,1084.261013,7064,64,221,73.09999999999998,53,58,136,81,none,none,grid,18560
294,294,10970,8.351558951961415,6.681254654533432,Nigeria,Cross River,Yala,EZZA INYIMAGU - IZIOGO,1084.178946,780,547,319,65.0,96,116,216,131,none,none,grid,15970
1784,276,41022,4.790420520537633,13.37969903461812,Nigeria,Sokoto,Tangaza,MAGONHO,1082.355147,7152,-,221,70.6,55,54,120,77,none,none,mini-grid,16920
1368,120,34348,3.155527654757019,6.637690198668763,Nigeria,Ogun,Ado-Odo/Ota,IJU,1082.138042,5724,646,180,61.5,73,88,176,87,none,none,grid,7190
499,196,31887,4.622584422812759,10.11542460450534,Nigeria,Niger,Magama,AUNA SOUTH EAST,1080.893897,1407,313,186,69.6,68,96,216,88,mini-grid,mini-grid,intercon,22180
1933,425,41302,5.507730002635646,13.683388030843526,Nigeria,Sokoto,Illela,KADASSAKA,1079.58806,7432,25,220,74.9,57,52,144,75,none,none,grid,3600
261,261,10906,8.786016662819378,6.249763726137155,Nigeria,Cross River,Boki,BOJE,1079.584967,716,460,318,73.7,107,120,288,135,none,mini-grid,intercon,13000
1083,379,39145,9.152099601940945,8.931062295381311,Nigeria,Plateau,'Qua''an Pan',BWALL,1078.393346,4478,261,203,71.7,52,54,144,73,none,mini-grid,intercon,11560
2025,517,41729,4.917880713009096,13.035743125704828,Nigeria,Sokoto,Silame,SILAME,1077.310622,7859,95,220,75.59999999999998,57,62,152,82,none,grid,grid,11700
2028,520,41777,5.46259520078369,13.201955209192572,Nigeria,Sokoto,Wurno,CHACHO/MARNONA,1077.310622,7907,19,220,71.1,52,56,120,85,none,grid,grid,1450
1940,432,41313,4.497756755067323,13.680387649002183,Nigeria,Sokoto,Gudu,MARAKEN BORI,1075.399078,7443,-,219,90.3,55,60,224,74,none,none,mini-grid,28010
212,212,10795,8.68179641084879,6.537597687366286,Nigeria,Cross River,Ogoja,NKUM IBORR,1074.990988,605,589,316,65.1,127,170,296,163,none,grid,grid,4260
163,163,10627,8.848408698266248,6.708749570084613,Nigeria,Cross River,Bekwara,UGBORO,1074.990988,437,463,316,66.0,98,120,224,133,none,mini-grid,intercon,8160
331,28,31358,6.177109358073469,8.913233631541067,Nigeria,Niger,Katcha,GBAKOGI,1071.285951,878,421,185,67.7,57,66,136,77,none,grid,grid,8540
1659,151,40738,5.351202527020757,13.021061055920423,Nigeria,Sokoto,Kware,TSAKI/ WALAKE\E,1070.360231,6868,159,218,66.0,66,68,152,93,none,grid,grid,6280
1910,402,41268,5.422196414118249,13.634984757475529,Nigeria,Sokoto,Illela,DARNA/ SABON GARI,1070.360231,7398,151,218,77.9,59,62,152,77,none,mini-grid,intercon,17670
1168,464,39548,9.647185278042594,8.45576126575584,Nigeria,Plateau,Shendam,KURUNGBAU (B),1069.946401,4881,292,202,77.59999999999998,52,60,144,70,none,none,grid,35010
1381,133,34387,3.050156053205501,6.581382576874048,Nigeria,Ogun,Ado-Odo/Ota,KETU-ADIE-OWE,1069.356884,5763,617,178,64.4,73,96,176,88,none,none,grid,6420
768,64,38265,9.846819315614274,8.789890692131804,Nigeria,Plateau,Langtang North,TALGWANG,1067.481361,3598,189,201,69.2,50,54,112,73,none,none,grid,14630
2048,540,41863,4.794843052972024,12.990339749050912,Nigeria,Sokoto,Silame,MARAFA EAST,1066.885036,7993,76,218,71.3,52,56,120,75,none,none,grid,3320
1514,6,40433,4.432726001399501,11.71347729937368,Nigeria,Sokoto,Kebbe,LIBA/DANWA/KUKA KOGO,1066.885036,6563,90,218,69.3,57,62,144,75,none,none,grid,65430
1758,250,40956,5.580904439590054,13.313951689166355,Nigeria,Sokoto,Wurno,S/GARI DOLE/DAN/TASAKKO,1066.506671,7086,34,218,68.3,68,66,160,89,none,grid,grid,1550
1931,423,41300,5.347806692536848,13.681652740415515,Nigeria,Sokoto,Illela,TOZAI,1066.094857,7430,161,218,72.4,50,52,128,75,none,none,grid,9110
214,214,10798,8.738103820253968,6.572075004237249,Nigeria,Cross River,Ogoja,NKUM IBORR,1065.803031,608,589,313,67.1,96,114,232,131,none,grid,grid,10700
1459,211,34817,3.75626047718892,7.198120806513461,Nigeria,Ogun,Odeda,ALAPAKO-ONI,1065.096498,6193,671,178,65.5,54,64,136,72,none,none,grid,7200
1366,118,34342,3.085322971135425,6.684835325333429,Nigeria,Ogun,Ado-Odo/Ota,ATAN,1065.096498,5718,627,178,66.3,71,90,200,91,none,none,grid,5550
343,40,31387,5.752966732181426,8.975505827983719,Nigeria,Niger,Edati,GAZHE  II,1061.678006,907,386,183,79.09999999999998,65,96,312,84,none,none,grid,4700
1709,201,40837,4.537601195099376,13.151468841196785,Nigeria,Sokoto,Gudu,SORO YAMMA,1061.513665,6967,101,217,65.2,66,70,136,90,none,none,grid,10920
173,173,10645,8.04963638287668,5.364074599076035,Nigeria,Cross River,Biase,UMON SOUTH,1061.209053,455,517,312,65.6,77,96,168,112,none,mini-grid,intercon,16650
